/* DATA DESCRIPTION:
Citation:	Rae, James W B; Sarnthein, Michael; Foster, Gavin L; Ridgwell, Andy; Grootes, Pieter Meiert; Elliott, Tim (2014): (Table 4) Atmospheric 14C record used for calculating foram-atmosphere reservoir ages. PANGAEA, https://doi.org/10.1594/PANGAEA.833525, 
	In supplement to: Rae, JWB et al. (2014): Deep water formation in the North Pacific and deglacial CO2 rise. Paleoceanography, 29(6), 645-667, https://doi.org/10.1002/2013PA002570
Further details:	Reimer, Paula J; Baillie, Mike G L; Bard, Edouard; Bayliss, Alex; Beck, J Warren; Blackwell, Paul G; Ramsey, Christopher Bronk; Burr, George S; Edwards, R Lawrence; Friedrich, Michael; Grootes, Pieter Meiert; Guilderson, Thomas P; Hajdas, Irena; Heaton, T J; Hogg, Alan G; Hughen, Konrad A; Kaiser, Klaus-Felix; Kromer, Bernd; McCormac, F Gerry; Manning, Sturt W; Reimer, Ron W; Richards, David A; Southon, John R; Talamo, Sahra; Turney, Chris S M; van der Plicht, Johannes; Weyhenmeyer, Constanze E (2009): IntCal09 and Marine09 Radiocarbon Age Calibration Curves, 0-50,000 Years cal BP. Radiocarbon, 51(4), 1111-1150, https://doi.org/10.1017/S0033822200034202
	Southon, John; Noronha, Alexandra L; Cheng, Hai; Edwards, R Lawrence; Wang, Yongjin (2012): A high-resolution record of atmospheric 14C based on Hulu Cave speleothem H82. Quaternary Science Reviews, 33, 32-41, https://doi.org/10.1016/j.quascirev.2011.11.022
Comment:	Based on IntCal09 from 0-15 and 26-50 kyr BP, and Southon et al. 2012's Hulu Cave 14C record from 15-26 kyr BP.
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Age, dated [ka] (Age dated) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional
	Age, error [±] (Age e) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx) * METHOD/DEVICE: Age, 14C conventional * COMMENT: 1 sigma
	Δ14C [‰] (Δ14C) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Δ14C, standard deviation [±] (Δ14C std dev) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
	Reference/source (Reference) * PI: Rae, James W B (https://orcid.org/0000-0003-3904-2526, jwbr@st-andrews.ac.uk, http://earthsci.st-andrews.ac.uk/profile_jwbr.aspx)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	15415 data points
*/
Age [ka BP]	Age dated [ka]	Age e [±]	Δ14C [‰]	Δ14C std dev [±]	Reference
10.865	9.580	0.016	129.5	2.2	IntCal09
10.860	9.567	0.016	130.6	2.3	IntCal09
10.855	9.566	0.016	130.1	2.3	IntCal09
10.850	9.577	0.014	127.8	2.0	IntCal09
10.845	9.584	0.015	126.2	2.1	IntCal09
10.840	9.587	0.016	125.1	2.2	IntCal09
10.835	9.588	0.016	124.3	2.2	IntCal09
10.830	9.587	0.020	123.7	2.8	IntCal09
10.825	9.586	0.020	123.2	2.8	IntCal09
10.820	9.585	0.019	122.6	2.7	IntCal09
10.815	9.584	0.021	122.1	2.9	IntCal09
10.810	9.583	0.021	121.6	2.9	IntCal09
10.805	9.581	0.018	121.2	2.5	IntCal09
10.800	9.578	0.019	120.9	2.7	IntCal09
10.795	9.574	0.018	120.8	2.5	IntCal09
10.790	9.562	0.020	121.8	2.8	IntCal09
10.785	9.550	0.021	122.8	2.9	IntCal09
10.780	9.546	0.021	122.7	2.9	IntCal09
10.775	9.545	0.020	122.1	2.8	IntCal09
10.770	9.540	0.021	122.1	2.9	IntCal09
10.765	9.535	0.021	122.2	2.9	IntCal09
10.760	9.529	0.025	122.3	3.5	IntCal09
10.755	9.522	0.028	122.6	3.9	IntCal09
10.750	9.516	0.029	122.8	4.1	IntCal09
10.745	9.510	0.030	122.9	4.2	IntCal09
10.740	9.503	0.030	123.2	4.2	IntCal09
10.735	9.497	0.028	123.4	3.9	IntCal09
10.730	9.491	0.026	123.5	3.6	IntCal09
10.725	9.487	0.026	123.4	3.6	IntCal09
10.720	9.483	0.025	123.3	3.5	IntCal09
10.715	9.478	0.022	123.3	3.1	IntCal09
10.710	9.470	0.020	123.8	2.8	IntCal09
10.705	9.463	0.017	124.1	2.4	IntCal09
10.700	9.456	0.016	124.4	2.2	IntCal09
10.695	9.446	0.016	125.1	2.2	IntCal09
10.690	9.440	0.016	125.2	2.2	IntCal09
10.685	9.437	0.016	125.0	2.2	IntCal09
10.680	9.432	0.016	125.0	2.2	IntCal09
10.675	9.428	0.016	124.9	2.2	IntCal09
10.670	9.426	0.016	124.5	2.2	IntCal09
10.665	9.424	0.016	124.1	2.2	IntCal09
10.660	9.419	0.016	124.1	2.2	IntCal09
10.655	9.411	0.015	124.5	2.1	IntCal09
10.650	9.399	0.015	125.5	2.1	IntCal09
10.645	9.390	0.015	126.1	2.1	IntCal09
10.640	9.385	0.016	126.1	2.2	IntCal09
10.635	9.386	0.016	125.3	2.2	IntCal09
10.630	9.392	0.015	123.8	2.1	IntCal09
10.625	9.398	0.015	122.3	2.1	IntCal09
10.620	9.406	0.017	120.5	2.4	IntCal09
10.615	9.416	0.016	118.4	2.2	IntCal09
10.610	9.422	0.014	116.9	1.9	IntCal09
10.605	9.409	0.016	118.0	2.2	IntCal09
10.600	9.401	0.017	118.5	2.4	IntCal09
10.595	9.399	0.016	118.1	2.2	IntCal09
10.590	9.396	0.016	117.8	2.2	IntCal09
10.585	9.380	0.018	119.4	2.5	IntCal09
10.580	9.369	0.018	120.2	2.5	IntCal09
10.575	9.359	0.017	120.9	2.4	IntCal09
10.570	9.345	0.018	122.2	2.5	IntCal09
10.565	9.336	0.018	122.8	2.5	IntCal09
10.560	9.330	0.016	123.0	2.2	IntCal09
10.555	9.324	0.017	123.1	2.4	IntCal09
10.550	9.321	0.017	122.9	2.4	IntCal09
10.545	9.319	0.017	122.5	2.4	IntCal09
10.540	9.318	0.017	121.9	2.4	IntCal09
10.535	9.320	0.017	121.0	2.4	IntCal09
10.530	9.325	0.016	119.6	2.2	IntCal09
10.525	9.326	0.016	118.8	2.2	IntCal09
10.520	9.320	0.017	118.9	2.4	IntCal09
10.515	9.312	0.017	119.4	2.4	IntCal09
10.510	9.300	0.018	120.4	2.5	IntCal09
10.505	9.291	0.018	120.9	2.5	IntCal09
10.500	9.283	0.017	121.4	2.4	IntCal09
10.495	9.274	0.016	122.0	2.2	IntCal09
10.490	9.263	0.016	122.8	2.2	IntCal09
10.485	9.254	0.017	123.4	2.4	IntCal09
10.480	9.246	0.018	123.8	2.5	IntCal09
10.475	9.240	0.017	124.0	2.4	IntCal09
10.470	9.241	0.018	123.2	2.5	IntCal09
10.465	9.249	0.017	121.4	2.4	IntCal09
10.460	9.256	0.017	119.7	2.4	IntCal09
10.455	9.265	0.016	117.8	2.2	IntCal09
10.450	9.276	0.016	115.6	2.2	IntCal09
10.445	9.277	0.016	114.8	2.2	IntCal09
10.440	9.268	0.017	115.4	2.4	IntCal09
10.435	9.258	0.019	116.1	2.6	IntCal09
10.430	9.252	0.019	116.2	2.6	IntCal09
10.425	9.246	0.018	116.4	2.5	IntCal09
10.420	9.242	0.017	116.3	2.4	IntCal09
10.415	9.238	0.015	116.1	2.1	IntCal09
10.410	9.230	0.017	116.6	2.4	IntCal09
10.405	9.222	0.018	117.0	2.5	IntCal09
10.400	9.218	0.018	116.9	2.5	IntCal09
10.395	9.216	0.018	116.5	2.5	IntCal09
10.390	9.212	0.017	116.4	2.4	IntCal09
10.385	9.209	0.018	116.1	2.5	IntCal09
10.380	9.207	0.018	115.7	2.5	IntCal09
10.375	9.205	0.017	115.3	2.4	IntCal09
10.370	9.198	0.018	115.6	2.5	IntCal09
10.365	9.192	0.019	115.8	2.6	IntCal09
10.360	9.194	0.019	114.8	2.6	IntCal09
10.355	9.200	0.018	113.3	2.5	IntCal09
10.350	9.206	0.017	111.8	2.4	IntCal09
10.345	9.207	0.017	111.0	2.4	IntCal09
10.340	9.201	0.017	111.2	2.4	IntCal09
10.335	9.197	0.017	111.1	2.4	IntCal09
10.330	9.200	0.017	110.0	2.3	IntCal09
10.325	9.202	0.018	109.0	2.5	IntCal09
10.320	9.205	0.019	107.9	2.6	IntCal09
10.315	9.211	0.019	106.4	2.6	IntCal09
10.310	9.220	0.017	104.5	2.3	IntCal09
10.305	9.219	0.015	104.0	2.1	IntCal09
10.300	9.206	0.015	105.1	2.1	IntCal09
10.295	9.194	0.016	106.1	2.2	IntCal09
10.290	9.188	0.017	106.3	2.3	IntCal09
10.285	9.185	0.018	106.0	2.5	IntCal09
10.280	9.182	0.017	105.7	2.3	IntCal09
10.275	9.177	0.016	105.8	2.2	IntCal09
10.270	9.171	0.015	105.9	2.1	IntCal09
10.265	9.165	0.015	106.1	2.1	IntCal09
10.260	9.161	0.015	106.0	2.1	IntCal09
10.255	9.155	0.015	106.1	2.1	IntCal09
10.250	9.140	0.016	107.5	2.2	IntCal09
10.245	9.118	0.016	109.9	2.2	IntCal09
10.240	9.100	0.015	111.7	2.1	IntCal09
10.235	9.083	0.015	113.4	2.1	IntCal09
10.230	9.063	0.015	115.5	2.1	IntCal09
10.225	9.043	0.015	117.6	2.1	IntCal09
10.220	9.030	0.015	118.7	2.1	IntCal09
10.215	9.026	0.014	118.6	1.9	IntCal09
10.210	9.025	0.015	118.1	2.1	IntCal09
10.205	9.020	0.016	118.1	2.2	IntCal09
10.200	9.011	0.015	118.7	2.1	IntCal09
10.195	8.995	0.017	120.2	2.4	IntCal09
10.190	8.983	0.018	121.2	2.5	IntCal09
10.185	8.973	0.018	121.9	2.5	IntCal09
10.180	8.962	0.015	122.8	2.1	IntCal09
10.175	8.949	0.016	123.9	2.2	IntCal09
10.170	8.936	0.016	125.1	2.2	IntCal09
10.165	8.930	0.017	125.2	2.4	IntCal09
10.160	8.926	0.015	125.1	2.1	IntCal09
10.155	8.911	0.017	126.5	2.4	IntCal09
10.150	8.898	0.018	127.7	2.5	IntCal09
10.145	8.893	0.017	127.7	2.4	IntCal09
10.140	8.894	0.015	126.9	2.1	IntCal09
10.135	8.894	0.015	126.2	2.1	IntCal09
10.130	8.889	0.016	126.2	2.2	IntCal09
10.125	8.886	0.017	125.9	2.4	IntCal09
10.120	8.883	0.015	125.7	2.1	IntCal09
10.115	8.867	0.016	127.2	2.2	IntCal09
10.110	8.857	0.017	128.0	2.4	IntCal09
10.105	8.853	0.015	127.8	2.1	IntCal09
10.100	8.856	0.014	126.7	2.0	IntCal09
10.095	8.863	0.015	125.1	2.1	IntCal09
10.090	8.864	0.016	124.3	2.2	IntCal09
10.085	8.865	0.016	123.4	2.2	IntCal09
10.080	8.867	0.017	122.5	2.4	IntCal09
10.075	8.867	0.016	121.8	2.2	IntCal09
10.070	8.869	0.016	120.8	2.2	IntCal09
10.065	8.878	0.015	118.9	2.1	IntCal09
10.060	8.894	0.015	116.0	2.1	IntCal09
10.055	8.902	0.015	114.2	2.1	IntCal09
10.050	8.906	0.013	113.0	1.8	IntCal09
10.045	8.906	0.013	112.3	1.8	IntCal09
10.040	8.891	0.016	113.7	2.2	IntCal09
10.035	8.880	0.015	114.6	2.1	IntCal09
10.030	8.881	0.016	113.8	2.2	IntCal09
10.025	8.889	0.016	112.0	2.2	IntCal09
10.020	8.897	0.015	110.2	2.1	IntCal09
10.015	8.897	0.014	109.5	1.9	IntCal09
10.010	8.889	0.017	110.0	2.3	IntCal09
10.005	8.882	0.017	110.3	2.3	IntCal09
10.000	8.877	0.015	110.3	2.1	IntCal09
9.995	8.880	0.016	109.2	2.2	IntCal09
9.990	8.892	0.016	106.9	2.2	IntCal09
9.985	8.905	0.016	104.4	2.2	IntCal09
9.980	8.917	0.014	102.1	1.9	IntCal09
9.975	8.917	0.015	101.4	2.1	IntCal09
9.970	8.915	0.013	101.0	1.8	IntCal09
9.965	8.908	0.013	101.3	1.8	IntCal09
9.960	8.901	0.015	101.6	2.1	IntCal09
9.955	8.897	0.019	101.5	2.6	IntCal09
9.950	8.894	0.022	101.3	3.0	IntCal09
9.945	8.891	0.023	101.0	3.2	IntCal09
9.940	8.888	0.022	100.8	3.0	IntCal09
9.935	8.884	0.022	100.6	3.0	IntCal09
9.930	8.879	0.023	100.7	3.2	IntCal09
9.925	8.875	0.023	100.5	3.2	IntCal09
9.920	8.869	0.022	100.7	3.0	IntCal09
9.915	8.859	0.020	101.4	2.7	IntCal09
9.910	8.848	0.018	102.2	2.5	IntCal09
9.905	8.833	0.017	103.6	2.3	IntCal09
9.900	8.818	0.017	105.0	2.3	IntCal09
9.895	8.817	0.017	104.5	2.3	IntCal09
9.890	8.811	0.017	104.7	2.3	IntCal09
9.885	8.797	0.017	105.9	2.3	IntCal09
9.880	8.793	0.017	105.8	2.3	IntCal09
9.875	8.800	0.017	104.2	2.3	IntCal09
9.870	8.806	0.017	102.7	2.3	IntCal09
9.865	8.798	0.017	103.1	2.3	IntCal09
9.860	8.796	0.017	102.7	2.3	IntCal09
9.855	8.793	0.017	102.5	2.3	IntCal09
9.850	8.796	0.016	101.4	2.2	IntCal09
9.845	8.803	0.016	99.7	2.2	IntCal09
9.840	8.805	0.017	98.8	2.3	IntCal09
9.835	8.805	0.017	98.1	2.3	IntCal09
9.830	8.804	0.019	97.6	2.6	IntCal09
9.825	8.804	0.018	97.0	2.5	IntCal09
9.820	8.803	0.018	96.4	2.5	IntCal09
9.815	8.800	0.021	96.2	2.9	IntCal09
9.810	8.800	0.021	95.5	2.9	IntCal09
9.805	8.801	0.020	94.7	2.7	IntCal09
9.800	8.803	0.019	93.8	2.6	IntCal09
9.795	8.801	0.020	93.4	2.7	IntCal09
9.790	8.800	0.020	92.9	2.7	IntCal09
9.785	8.798	0.018	92.5	2.4	IntCal09
9.780	8.796	0.017	92.1	2.3	IntCal09
9.775	8.793	0.015	91.8	2.0	IntCal09
9.770	8.785	0.015	92.3	2.0	IntCal09
9.765	8.780	0.015	92.3	2.0	IntCal09
9.760	8.778	0.016	91.9	2.2	IntCal09
9.755	8.778	0.016	91.2	2.2	IntCal09
9.750	8.780	0.016	90.3	2.2	IntCal09
9.745	8.780	0.017	89.6	2.3	IntCal09
9.740	8.774	0.017	89.8	2.3	IntCal09
9.735	8.764	0.017	90.5	2.3	IntCal09
9.730	8.757	0.018	90.8	2.4	IntCal09
9.725	8.755	0.018	90.4	2.4	IntCal09
9.720	8.760	0.017	89.1	2.3	IntCal09
9.715	8.767	0.016	87.5	2.2	IntCal09
9.710	8.767	0.016	86.8	2.2	IntCal09
9.705	8.760	0.017	87.1	2.3	IntCal09
9.700	8.749	0.018	87.9	2.4	IntCal09
9.695	8.737	0.019	88.9	2.6	IntCal09
9.690	8.731	0.020	89.0	2.7	IntCal09
9.685	8.725	0.020	89.2	2.7	IntCal09
9.680	8.718	0.020	89.5	2.7	IntCal09
9.675	8.712	0.019	89.6	2.6	IntCal09
9.670	8.709	0.019	89.4	2.6	IntCal09
9.665	8.707	0.018	89.0	2.4	IntCal09
9.660	8.703	0.018	88.9	2.4	IntCal09
9.655	8.700	0.018	88.6	2.4	IntCal09
9.650	8.696	0.017	88.5	2.3	IntCal09
9.645	8.701	0.017	87.2	2.3	IntCal09
9.640	8.706	0.017	85.8	2.3	IntCal09
9.635	8.706	0.017	85.2	2.3	IntCal09
9.630	8.699	0.018	85.5	2.4	IntCal09
9.625	8.693	0.018	85.6	2.4	IntCal09
9.620	8.692	0.019	85.1	2.6	IntCal09
9.615	8.693	0.019	84.3	2.6	IntCal09
9.610	8.693	0.018	83.7	2.4	IntCal09
9.605	8.691	0.017	83.3	2.3	IntCal09
9.600	8.684	0.017	83.6	2.3	IntCal09
9.595	8.677	0.018	83.9	2.4	IntCal09
9.590	8.677	0.018	83.2	2.4	IntCal09
9.585	8.678	0.017	82.4	2.3	IntCal09
9.580	8.673	0.018	82.4	2.4	IntCal09
9.575	8.672	0.018	81.9	2.4	IntCal09
9.570	8.680	0.017	80.2	2.3	IntCal09
9.565	8.682	0.016	79.3	2.1	IntCal09
9.560	8.674	0.015	79.7	2.0	IntCal09
9.555	8.655	0.016	81.6	2.2	IntCal09
9.550	8.638	0.017	83.2	2.3	IntCal09
9.545	8.609	0.017	86.5	2.3	IntCal09
9.540	8.583	0.016	89.3	2.2	IntCal09
9.535	8.558	0.015	92.1	2.0	IntCal09
9.530	8.533	0.017	94.8	2.3	IntCal09
9.525	8.511	0.017	97.2	2.3	IntCal09
9.520	8.497	0.017	98.4	2.3	IntCal09
9.515	8.490	0.017	98.7	2.3	IntCal09
9.510	8.492	0.017	97.8	2.3	IntCal09
9.505	8.495	0.016	96.7	2.2	IntCal09
9.500	8.492	0.017	96.4	2.3	IntCal09
9.495	8.485	0.018	96.7	2.5	IntCal09
9.490	8.474	0.017	97.6	2.3	IntCal09
9.485	8.462	0.017	98.5	2.3	IntCal09
9.480	8.452	0.017	99.2	2.3	IntCal09
9.475	8.442	0.017	99.9	2.3	IntCal09
9.470	8.429	0.016	101.1	2.2	IntCal09
9.465	8.412	0.016	102.7	2.2	IntCal09
9.460	8.403	0.017	103.3	2.3	IntCal09
9.455	8.401	0.018	102.9	2.5	IntCal09
9.450	8.400	0.019	102.4	2.6	IntCal09
9.445	8.398	0.020	102.0	2.7	IntCal09
9.440	8.392	0.019	102.1	2.6	IntCal09
9.435	8.383	0.018	102.7	2.5	IntCal09
9.430	8.369	0.018	104.0	2.5	IntCal09
9.425	8.358	0.017	104.8	2.3	IntCal09
9.420	8.352	0.016	105.0	2.2	IntCal09
9.415	8.348	0.017	104.8	2.3	IntCal09
9.410	8.348	0.016	104.2	2.2	IntCal09
9.405	8.343	0.016	104.2	2.2	IntCal09
9.400	8.324	0.018	106.1	2.5	IntCal09
9.395	8.309	0.019	107.5	2.6	IntCal09
9.390	8.308	0.019	107.0	2.6	IntCal09
9.385	8.310	0.019	106.1	2.6	IntCal09
9.380	8.314	0.019	104.8	2.6	IntCal09
9.375	8.314	0.018	104.2	2.5	IntCal09
9.370	8.307	0.016	104.5	2.2	IntCal09
9.365	8.306	0.017	103.9	2.3	IntCal09
9.360	8.315	0.018	102.0	2.5	IntCal09
9.355	8.325	0.018	100.0	2.5	IntCal09
9.350	8.324	0.018	99.5	2.5	IntCal09
9.345	8.328	0.018	98.3	2.5	IntCal09
9.340	8.340	0.017	96.0	2.3	IntCal09
9.335	8.345	0.017	94.6	2.3	IntCal09
9.330	8.337	0.018	95.0	2.5	IntCal09
9.325	8.329	0.019	95.5	2.6	IntCal09
9.320	8.324	0.020	95.5	2.7	IntCal09
9.315	8.320	0.021	95.4	2.9	IntCal09
9.310	8.316	0.020	95.3	2.7	IntCal09
9.305	8.310	0.019	95.4	2.6	IntCal09
9.300	8.301	0.018	96.0	2.5	IntCal09
9.295	8.292	0.018	96.5	2.5	IntCal09
9.290	8.285	0.019	96.8	2.6	IntCal09
9.285	8.278	0.019	97.1	2.6	IntCal09
9.280	8.271	0.019	97.4	2.6	IntCal09
9.275	8.264	0.019	97.7	2.6	IntCal09
9.270	8.259	0.021	97.7	2.9	IntCal09
9.265	8.253	0.022	97.9	3.0	IntCal09
9.260	8.247	0.023	98.0	3.1	IntCal09
9.255	8.241	0.024	98.2	3.3	IntCal09
9.250	8.234	0.024	98.5	3.3	IntCal09
9.245	8.228	0.024	98.6	3.3	IntCal09
9.240	8.223	0.024	98.7	3.3	IntCal09
9.235	8.220	0.024	98.4	3.3	IntCal09
9.230	8.218	0.023	98.0	3.1	IntCal09
9.225	8.219	0.023	97.2	3.1	IntCal09
9.220	8.224	0.021	95.9	2.9	IntCal09
9.215	8.227	0.020	94.8	2.7	IntCal09
9.210	8.227	0.020	94.1	2.7	IntCal09
9.205	8.224	0.020	93.9	2.7	IntCal09
9.200	8.219	0.020	93.9	2.7	IntCal09
9.195	8.217	0.020	93.5	2.7	IntCal09
9.190	8.217	0.020	92.9	2.7	IntCal09
9.185	8.216	0.020	92.3	2.7	IntCal09
9.180	8.218	0.020	91.4	2.7	IntCal09
9.175	8.224	0.021	89.9	2.8	IntCal09
9.170	8.233	0.021	88.0	2.8	IntCal09
9.165	8.239	0.022	86.6	3.0	IntCal09
9.160	8.242	0.021	85.5	2.8	IntCal09
9.155	8.242	0.020	84.9	2.7	IntCal09
9.150	8.239	0.017	84.6	2.3	IntCal09
9.145	8.232	0.015	84.9	2.0	IntCal09
9.140	8.224	0.015	85.3	2.0	IntCal09
9.135	8.217	0.015	85.6	2.0	IntCal09
9.130	8.203	0.015	86.8	2.0	IntCal09
9.125	8.182	0.015	89.0	2.0	IntCal09
9.120	8.173	0.016	89.6	2.2	IntCal09
9.115	8.172	0.015	89.1	2.0	IntCal09
9.110	8.171	0.016	88.5	2.2	IntCal09
9.105	8.173	0.016	87.6	2.2	IntCal09
9.100	8.178	0.016	86.3	2.2	IntCal09
9.095	8.180	0.015	85.4	2.0	IntCal09
9.090	8.169	0.016	86.2	2.2	IntCal09
9.085	8.158	0.016	87.0	2.2	IntCal09
9.080	8.154	0.017	86.9	2.3	IntCal09
9.075	8.152	0.017	86.5	2.3	IntCal09
9.070	8.148	0.016	86.4	2.2	IntCal09
9.065	8.148	0.016	85.7	2.2	IntCal09
9.060	8.152	0.015	84.5	2.0	IntCal09
9.055	8.153	0.016	83.8	2.2	IntCal09
9.050	8.159	0.017	82.3	2.3	IntCal09
9.045	8.169	0.016	80.3	2.2	IntCal09
9.040	8.170	0.016	79.5	2.2	IntCal09
9.035	8.166	0.014	79.4	1.9	IntCal09
9.030	8.144	0.015	81.7	2.0	IntCal09
9.025	8.127	0.014	83.3	1.9	IntCal09
9.020	8.113	0.015	84.6	2.0	IntCal09
9.015	8.104	0.014	85.1	1.9	IntCal09
9.010	8.086	0.013	86.9	1.8	IntCal09
9.005	8.061	0.014	89.6	1.9	IntCal09
9.000	8.056	0.013	89.6	1.8	IntCal09
8.995	8.031	0.015	92.4	2.0	IntCal09
8.990	8.013	0.017	94.2	2.3	IntCal09
8.985	8.003	0.017	94.9	2.3	IntCal09
8.980	7.995	0.015	95.3	2.0	IntCal09
8.975	7.978	0.015	97.0	2.0	IntCal09
8.970	7.969	0.015	97.5	2.0	IntCal09
8.965	7.966	0.013	97.3	1.8	IntCal09
8.960	7.972	0.014	95.8	1.9	IntCal09
8.955	7.971	0.014	95.3	1.9	IntCal09
8.950	7.966	0.016	95.3	2.2	IntCal09
8.945	7.963	0.017	95.0	2.3	IntCal09
8.940	7.966	0.017	94.0	2.3	IntCal09
8.935	7.967	0.016	93.2	2.2	IntCal09
8.930	7.961	0.018	93.3	2.4	IntCal09
8.925	7.960	0.018	92.8	2.4	IntCal09
8.920	7.966	0.017	91.3	2.3	IntCal09
8.915	7.976	0.015	89.3	2.0	IntCal09
8.910	7.981	0.015	88.0	2.0	IntCal09
8.905	7.984	0.016	86.9	2.2	IntCal09
8.900	7.982	0.016	86.5	2.2	IntCal09
8.895	7.972	0.016	87.2	2.2	IntCal09
8.890	7.967	0.016	87.2	2.2	IntCal09
8.885	7.971	0.015	86.0	2.0	IntCal09
8.880	7.985	0.015	83.5	2.0	IntCal09
8.875	7.993	0.013	81.7	1.8	IntCal09
8.870	7.986	0.015	82.0	2.0	IntCal09
8.865	7.976	0.016	82.7	2.2	IntCal09
8.860	7.964	0.017	83.7	2.3	IntCal09
8.855	7.958	0.017	83.8	2.3	IntCal09
8.850	7.956	0.015	83.5	2.0	IntCal09
8.845	7.952	0.015	83.3	2.0	IntCal09
8.840	7.953	0.015	82.6	2.0	IntCal09
8.835	7.960	0.016	81.0	2.2	IntCal09
8.830	7.973	0.016	78.6	2.1	IntCal09
8.825	7.989	0.015	75.8	2.0	IntCal09
8.820	7.999	0.015	73.8	2.0	IntCal09
8.815	7.993	0.016	73.9	2.1	IntCal09
8.810	7.987	0.018	74.1	2.4	IntCal09
8.805	7.984	0.017	73.8	2.3	IntCal09
8.800	7.986	0.017	72.9	2.3	IntCal09
8.795	7.983	0.017	72.7	2.3	IntCal09
8.790	7.976	0.018	72.9	2.4	IntCal09
8.785	7.972	0.017	72.8	2.3	IntCal09
8.780	7.969	0.015	72.6	2.0	IntCal09
8.775	7.955	0.016	73.8	2.1	IntCal09
8.770	7.942	0.016	74.9	2.1	IntCal09
8.765	7.938	0.015	74.8	2.0	IntCal09
8.760	7.934	0.016	74.7	2.1	IntCal09
8.755	7.934	0.015	74.0	2.0	IntCal09
8.750	7.931	0.016	73.8	2.1	IntCal09
8.745	7.930	0.017	73.3	2.3	IntCal09
8.740	7.931	0.016	72.5	2.1	IntCal09
8.735	7.934	0.015	71.4	2.0	IntCal09
8.730	7.937	0.016	70.4	2.1	IntCal09
8.725	7.931	0.016	70.5	2.1	IntCal09
8.720	7.923	0.015	70.9	2.0	IntCal09
8.715	7.917	0.013	71.1	1.7	IntCal09
8.710	7.918	0.014	70.3	1.9	IntCal09
8.705	7.919	0.014	69.5	1.9	IntCal09
8.700	7.914	0.014	69.6	1.9	IntCal09
8.695	7.906	0.015	70.0	2.0	IntCal09
8.690	7.905	0.015	69.5	2.0	IntCal09
8.685	7.906	0.016	68.7	2.1	IntCal09
8.680	7.903	0.017	68.4	2.3	IntCal09
8.675	7.905	0.016	67.5	2.1	IntCal09
8.670	7.913	0.015	65.8	2.0	IntCal09
8.665	7.920	0.015	64.2	2.0	IntCal09
8.660	7.917	0.016	64.0	2.1	IntCal09
8.655	7.912	0.016	64.0	2.1	IntCal09
8.650	7.909	0.015	63.8	2.0	IntCal09
8.645	7.899	0.015	64.4	2.0	IntCal09
8.640	7.886	0.016	65.5	2.1	IntCal09
8.635	7.873	0.017	66.6	2.3	IntCal09
8.630	7.863	0.017	67.3	2.3	IntCal09
8.625	7.855	0.015	67.7	2.0	IntCal09
8.620	7.857	0.016	66.8	2.1	IntCal09
8.615	7.860	0.017	65.8	2.3	IntCal09
8.610	7.860	0.016	65.1	2.1	IntCal09
8.605	7.852	0.017	65.5	2.3	IntCal09
8.600	7.840	0.015	66.5	2.0	IntCal09
8.595	7.822	0.014	68.2	1.9	IntCal09
8.590	7.799	0.015	70.6	2.0	IntCal09
8.585	7.785	0.015	71.9	2.0	IntCal09
8.580	7.780	0.015	71.9	2.0	IntCal09
8.575	7.778	0.015	71.5	2.0	IntCal09
8.570	7.780	0.016	70.6	2.1	IntCal09
8.565	7.783	0.016	69.5	2.1	IntCal09
8.560	7.781	0.015	69.1	2.0	IntCal09
8.555	7.777	0.014	69.0	1.9	IntCal09
8.550	7.769	0.014	69.5	1.9	IntCal09
8.545	7.757	0.014	70.4	1.9	IntCal09
8.540	7.731	0.015	73.2	2.0	IntCal09
8.535	7.717	0.015	74.4	2.0	IntCal09
8.530	7.722	0.015	73.1	2.0	IntCal09
8.525	7.731	0.014	71.3	1.9	IntCal09
8.520	7.723	0.016	71.7	2.1	IntCal09
8.515	7.714	0.017	72.3	2.3	IntCal09
8.510	7.709	0.016	72.3	2.1	IntCal09
8.505	7.704	0.014	72.3	1.9	IntCal09
8.500	7.705	0.014	71.5	1.9	IntCal09
8.495	7.713	0.015	69.8	2.0	IntCal09
8.490	7.722	0.016	67.9	2.1	IntCal09
8.485	7.726	0.015	66.8	2.0	IntCal09
8.480	7.716	0.016	67.5	2.1	IntCal09
8.475	7.708	0.016	67.9	2.1	IntCal09
8.470	7.707	0.016	67.4	2.1	IntCal09
8.465	7.714	0.014	65.8	1.9	IntCal09
